2026-04-25 16:33:54,834 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(3, 1, 4) pool=153 drawn=41
2026-04-25 16:33:54,834 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(3, 1, 5) pool=133 drawn=35
2026-04-25 16:33:54,834 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(3, 2, 5) pool=312 drawn=83
2026-04-25 16:33:54,834 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(4, 0, 5) pool=2 drawn=1
2026-04-25 16:33:54,834 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(4, 1, 5) pool=266 drawn=71
2026-04-25 16:33:54,834 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(4, 2, 5) pool=522 drawn=140
2026-04-25 16:33:54,834 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(5, 0, 5) pool=2 drawn=1
2026-04-25 16:33:54,834 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(5, 1, 5) pool=323 drawn=86
2026-04-25 16:33:54,834 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(5, 2, 5) pool=597 drawn=172
2026-04-25 16:33:54,834 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(6, 0, 4) pool=8 drawn=2
2026-04-25 16:33:54,834 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(6, 0, 5) pool=1 drawn=1
2026-04-25 16:33:54,835 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(6, 1, 4) pool=16 drawn=4
2026-04-25 16:33:54,835 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(6, 1, 5) pool=215 drawn=57
2026-04-25 16:33:54,835 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(6, 2, 5) pool=479 drawn=128
2026-04-25 16:33:54,835 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(7, 0, 5) pool=1 drawn=1
2026-04-25 16:33:54,835 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(7, 1, 5) pool=276 drawn=74
2026-04-25 16:33:54,835 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(7, 2, 5) pool=539 drawn=145
2026-04-25 16:33:54,835 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(8, 0, 5) pool=3 drawn=1
2026-04-25 16:33:54,835 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(8, 1, 5) pool=338 drawn=90
2026-04-25 16:33:54,835 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(8, 2, 5) pool=555 drawn=149
2026-04-25 16:33:54,835 | INFO    | build_curated_set | Pass 1 L4: drew 1000 correct + 1800 wrong.
2026-04-25 16:33:54,847 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(0, 0, 5) pool=40 drawn=13
2026-04-25 16:33:54,847 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(0, 1, 5) pool=314 drawn=104
2026-04-25 16:33:54,847 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(0, 1, 6) pool=4 drawn=1
2026-04-25 16:33:54,847 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(0, 2, 5) pool=920 drawn=318
2026-04-25 16:33:54,847 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(0, 2, 6) pool=113 drawn=37
2026-04-25 16:33:54,847 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(1, 0, 5) pool=11 drawn=3
2026-04-25 16:33:54,847 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(1, 1, 5) pool=44 drawn=14
2026-04-25 16:33:54,847 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(1, 1, 6) pool=22 drawn=7
2026-04-25 16:33:54,847 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(1, 2, 5) pool=182 drawn=60
2026-04-25 16:33:54,847 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(1, 2, 6) pool=357 drawn=119
2026-04-25 16:33:54,847 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(2, 0, 5) pool=5 drawn=1
2026-04-25 16:33:54,848 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(2, 0, 6) pool=2 drawn=1
2026-04-25 16:33:54,848 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(2, 1, 5) pool=8 drawn=2
2026-04-25 16:33:54,848 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(2, 1, 6) pool=11 drawn=3
2026-04-25 16:33:54,848 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(2, 2, 5) pool=22 drawn=7
2026-04-25 16:33:54,848 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(2, 2, 6) pool=301 drawn=100
2026-04-25 16:33:54,848 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(3, 0, 5) pool=12 drawn=4
2026-04-25 16:33:54,848 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(3, 1, 5) pool=70 drawn=23
2026-04-25 16:33:54,848 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(3, 1, 6) pool=19 drawn=6
2026-04-25 16:33:54,848 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(3, 2, 5) pool=213 drawn=71
2026-04-25 16:33:54,848 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(3, 2, 6) pool=374 drawn=124
2026-04-25 16:33:54,848 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(4, 1, 6) pool=20 drawn=6
2026-04-25 16:33:54,848 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(4, 2, 6) pool=232 drawn=77
2026-04-25 16:33:54,848 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(5, 1, 6) pool=14 drawn=4
2026-04-25 16:33:54,848 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(5, 2, 6) pool=120 drawn=40
2026-04-25 16:33:54,849 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(6, 0, 5) pool=9 drawn=3
2026-04-25 16:33:54,849 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(6, 0, 6) pool=2 drawn=1
2026-04-25 16:33:54,849 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(6, 1, 5) pool=18 drawn=6
2026-04-25 16:33:54,849 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(6, 1, 6) pool=40 drawn=13
2026-04-25 16:33:54,849 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(6, 2, 5) pool=43 drawn=14
2026-04-25 16:33:54,849 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(6, 2, 6) pool=404 drawn=134
2026-04-25 16:33:54,849 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(7, 0, 6) pool=1 drawn=1
2026-04-25 16:33:54,849 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(7, 1, 6) pool=21 drawn=7
2026-04-25 16:33:54,849 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(7, 2, 6) pool=159 drawn=53
2026-04-25 16:33:54,849 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(8, 1, 6) pool=2 drawn=1
2026-04-25 16:33:54,849 | DEBUG   | build_curated_set | Pass1 L5 correct cell=(8, 2, 6) pool=68 drawn=22
2026-04-25 16:33:54,884 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(0, 0, 5) pool=60 drawn=1
2026-04-25 16:33:54,884 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(0, 1, 5) pool=1832 drawn=21
2026-04-25 16:33:54,884 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(0, 1, 6) pool=9 drawn=1
2026-04-25 16:33:54,884 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(0, 2, 5) pool=8297 drawn=98
2026-04-25 16:33:54,884 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(0, 2, 6) pool=1880 drawn=22
2026-04-25 16:33:54,884 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(1, 0, 5) pool=21 drawn=1
2026-04-25 16:33:54,884 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(1, 0, 6) pool=6 drawn=1
2026-04-25 16:33:54,884 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(1, 1, 5) pool=516 drawn=6
2026-04-25 16:33:54,884 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(1, 1, 6) pool=215 drawn=2
2026-04-25 16:33:54,884 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(1, 2, 5) pool=3105 drawn=36
2026-04-25 16:33:54,885 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(1, 2, 6) pool=9204 drawn=109
2026-04-25 16:33:54,885 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(2, 0, 5) pool=8 drawn=1
2026-04-25 16:33:54,885 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(2, 0, 6) pool=2 drawn=1
2026-04-25 16:33:54,885 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(2, 1, 5) pool=214 drawn=2
2026-04-25 16:33:54,885 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(2, 1, 6) pool=236 drawn=2
2026-04-25 16:33:54,885 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(2, 2, 5) pool=498 drawn=5
2026-04-25 16:33:54,885 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(2, 2, 6) pool=12434 drawn=147
2026-04-25 16:33:54,885 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(3, 0, 5) pool=21 drawn=1
2026-04-25 16:33:54,885 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(3, 0, 6) pool=4 drawn=1
2026-04-25 16:33:54,885 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(3, 1, 5) pool=498 drawn=5
2026-04-25 16:33:54,885 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(3, 1, 6) pool=187 drawn=2
2026-04-25 16:33:54,885 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(3, 2, 5) pool=3016 drawn=35
2026-04-25 16:33:54,885 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(3, 2, 6) pool=9143 drawn=108
2026-04-25 16:33:54,886 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(4, 0, 6) pool=2 drawn=1
2026-04-25 16:33:54,886 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(4, 1, 6) pool=271 drawn=3
2026-04-25 16:33:54,886 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(4, 2, 6) pool=13052 drawn=154
2026-04-25 16:33:54,886 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(5, 1, 6) pool=197 drawn=2
2026-04-25 16:33:54,886 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(5, 2, 6) pool=13134 drawn=155
2026-04-25 16:33:54,886 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(6, 0, 5) pool=13 drawn=1
2026-04-25 16:33:54,886 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(6, 1, 5) pool=168 drawn=1
2026-04-25 16:33:54,886 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(6, 1, 6) pool=202 drawn=2
2026-04-25 16:33:54,886 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(6, 2, 5) pool=499 drawn=5
2026-04-25 16:33:54,886 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(6, 2, 6) pool=12191 drawn=144
2026-04-25 16:33:54,886 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(7, 0, 6) pool=1 drawn=1
2026-04-25 16:33:54,886 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(7, 1, 6) pool=247 drawn=2
2026-04-25 16:33:54,886 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(7, 2, 6) pool=13181 drawn=156
2026-04-25 16:33:54,886 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(8, 0, 6) pool=1 drawn=1
2026-04-25 16:33:54,886 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(8, 1, 6) pool=209 drawn=2
2026-04-25 16:33:54,887 | DEBUG   | build_curated_set | Pass1 L5 wrong cell=(8, 2, 6) pool=13252 drawn=162
2026-04-25 16:33:54,887 | INFO    | build_curated_set | Pass 1 L5: drew 1400 correct + 1400 wrong.
2026-04-25 16:33:54,889 | INFO    | build_curated_set | Pass 2 start: concept floor=30, registry has 17 unique concepts.
2026-04-25 16:33:54,892 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(0, 0, 3) pool=249 drawn=77
2026-04-25 16:33:54,892 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(0, 1, 3) pool=286 drawn=88
2026-04-25 16:33:54,892 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(0, 1, 4) pool=62 drawn=19
